	ENGLISH	GERMAN	ITALIAN	FRENCH	SPANISH
22	BONUS GAME IS LIT	BONUSSPIEL AN	GIOCO BONUS ACCESO	PARTIE BONUS ALLUMÉE	PARTIDA DE REGALO ENCENDIDA
23	BONUS X HELD	BONUS X ERHALTEN	BONUS X OTTENUTO	BONUS X OBTENU(S)	BONO X RETENIDO
24	BROKEN	ZERBROCHEN	ROTTO	BRISÉ(E)	ROTO
25	CASTLE IS OPEN!	SCHLOSS IST GEÖFFNET!	IL CASTELLO È APERTO!	LE CHÂTEAU EST OUVERT !	¡EL CASTILLO ESTÁ ABIERTO!
26	CAUGHT	GEFANGEN	PRESO	ATTRAPÉ(E)	ATASCADO
27	CHAMPION!	MEISTER!	CAMPIONE!	CHAMPION !	¡CAMPEÓN!
28	CLOAK	CLOAK	CAPPA	CLOAK	CLOAK
29	CLOAK & DAGGER LIT!	CLOAK & DAGGER AN!	CAPPA E SPADA ACCESE!	CLOAK & DAGGER ALLUMÉS !	¡CLOAK Y DAGGER ENCENDIDAS!
30	CLOAK & DAGGER!	CLOAK & DAGGER!	CAPPA E SPADA!	CLOAK & DAGGER !	¡CLOAK Y DAGGER!
31	CLOAK 'N' DAGGER	CLOAK 'N' DAGGER	CAPPA E SPADA	CLOAK ET DAGGER	CLOAK Y DAGGER
32	COLLECTED	EINGESAMMELT	RACCOLTI	RAMASSÉ(S)	ACUMULADOS
33	COMBO!	KOMBI!	COMBINAZIONE!	COMBO !	¡COMBO!
34	COMPLETE	FERTIG	COMPLETATO	TERMINÉ	COMPLETO
35	COMPLETE!	FERTIG!	COMPLETATO!	TERMINÉ !	¡COMPLETO!
36	CONGRATULATIONS!	GLÜCKWUNSCH!	CONGRATULAZIONI!	FÉLICITATIONS !	¡ENHORABUENA!
37	CRUSHED	ZERMAHLEN	SCHIACCIATO	ÉCRASÉES	TRITURADOS
38	DASH FOUND!	DASH GEFUNDEN	DASH TROVATO!	DASH TROUVÉ !	¡HALLASTE A DASH!
39	DOUBLE COMBO!	DOPPELKOMBI	DOPPIA COMBINAZIONE!	DOUBLE COMBO !	¡DOBLE COMBO!
40	DOUBLE JACKPOT	DOPPELJACKPOT	DOPPIO JACKPOT	DOUBLE JACKPOT	DOBLE PREMIO
41	DOUBLE JACKPOT!	DOPPELJACKPOT!	DOPPIO JACKPOT!	DOUBLE JACKPOT !	¡DOBLE PREMIO!
42	DOUBLE REVERSE COMBO!	DOPPEL-UMKEHRKOMBI!	DOPPIA COMBINAZIONE INVERSA!	DOUBLE COMBO INVERSÉE !	¡DOBLE COMBO INVERTIDO!
43	ENTER NAME	NAME EINGEBEN	INSERISCI NOME	ENTRE TON NOM	TECLEA TU NOMBRE
44	ESCAPE THE SHARK!	FLÜCHTE VOR DEM HAI!	SFUGGI ALLO SQUALO!	ÉCHAPPE AU REQUIN !	¡ESCAPA DEL TIBURÓN!
45	EXIT	BEENDEN	ESCI	QUITTER	SALIR
46	EXTRA BALL	EXTRA-BALL	PALLINA EXTRA	BILLE SUPPLÉMENTAIRE	BOLA EXTRA
47	EXTRA BALL IS LIT	EXTRA-BALL IST AN	PALLINA EXTRA ACCESA	BILLE SUPP. ALLUMÉE	BOLA EXTRA ENCENDIDA
48	EXTRA BALL IS LIT!	EXTRA-BALL IST AN!	PALLINA EXTRA ACCESA!	BILLE SUPP. ALLUMÉE !	¡BOLA EXTRA ENCENDIDA!
49	FIND DASH	DASH FINDEN	TROVA DASH	TROUVE DASH	BUSCA A DASH
50	FIND SCUTTLE	SCUTTLE FINDEN	TROVA SCUTTLE	TROUVE EURÉKA	ENCUENTRA A SCUTTLE
51	FLOTSAM & JETSAM	ABSCHAUM & MEERSCHAUM	FLOTSAM E JETSAM	FLOTSAM & JETSAM	FLOTSAM Y JETSAM
52	FLOTSAM & JETSAM LIT!	ABSCHAUM & MEERSCHAUM AN!	FLOTSAM E JETSAM ACCESI!	FLOTSAM & JETSAM ALLUMÉS !	¡FLOTSAM/JETSAM ENCENDIDOS!
53	FLOTSAM 'N' JETSAM	ABSCHAUM + MEERSCHAUM	FLOTSAM E JETSAM	FLOTSAM ET JETSAM	FLOTSAM Y JETSAM
54	FLOUNDER	FABIUS	FLOUNDER	POLOCHON	FLAUNDER
55	GAME MUSIC	MUSIK	MUSICA GIOCO	MUSIQUE DU JEU	MÚSICA
56	GAME OVER	SPIELENDE	FINE PARTITA	PARTIE TERMINÉE	FIN DE LA PARTIDA
57	GAME OVER PLAYER #	SPIELENDE SPIELER #	FINE PARTITA GIOCATORE # 	PARTIE DU JOUEUR # TERMINÉE	FIN DE LA PARTIDA JUGADOR #
58	GAME PAUSED	PAUSE	GIOCO IN PAUSA	PARTIE EN PAUSE	PAUSA
59	GET THE EXTRA BALL!	HOL DEN EXTRA-BALL!	OTTIENI LA PALLINA EXTRA!	GAGNE LA BILLE SUPP. !	¡CONSIGUE LA BOLA EXTRA!
60	GET THE JACKPOT!	HOL DEN JACKPOT!	OTTIENI IL JACKPOT!	GAGNE LE JACKPOT !	¡CONSIGUE EL PREMIO!
61	GROTTO IS LIT	GROTTE IST AN	GROTTA ACCESA	GROTTE ALLUMÉE	GRUTA ENCENDIDA
62	HE ESCAPED!	ER IST ENTWISCHT!	È SCAPPATO!	IL S'EST ÉCHAPPÉ !	¡ESCAPÓ!
63	HIGH SCORE!	HIGHSCORE!	PUNTEGGIO ALTO!	SCORE ÉLEVÉ !	¡BUENA PUNTUACIÓN!
64	ICEBERG LAIR	EISBERGVERSTECK	COVO DELL'ICEBERG	ANTRE GLACIÈRE	LA GUARIDA DE HIELO
65	ICEBERG LAIR FOUND	EISBERGVERSTECK GEFUNDEN	COVO DELL'ICEBERG TROVATO 	ANTRE GLACIÈRE TROUVÉE	HALLASTE GUARIDA DE HIELO
66	ICEBERG LAIR FOUND!	EISBERGVERSTECK GEFUNDEN!	COVO DELL'ICEBERG TROVATO!	ANTRE GLACIÈRE TROUVÉE !	¡HALLASTE GUARIDA DE HIELO!
67	JACKPOT	JACKPOT	JACKPOT	JACKPOT	PREMIO
68	KICKBACK IS LIT	KICKBACK IST AN	CONTRACCOLPO ACCESO	KICKBACK ALLUMÉ	EL IMPULSOR ESTÁ ENCENDIDO
69	KISS	KUSS	BACIO	EMBRASSER	BESO
70	KISS THE GIRL	KÜSSE DAS MÄDCHEN	BACIA LA RAGAZZA	EMBRASSE LA JEUNE FILLE	BESA A LA CHICA
71	LOCK IS LIT	SCHLOSS IST AN	BLOCCO ACCESA	VEROUILLAGE ALLUMÉ	EL BLOQUEO ESTÁ ENCENDIDO
72	LOST SOULS	VERLORENE SEELEN	ANIME PERSE	ÂMES PERDUES	ALMAS PERDIDAS
73	MAIN MUSIC	HAUPTMUSIK	MUSICA PRINCIPALE	MUSIQUE PRINCIPALE	TEMA PRINCIPAL
74	MEGA POPS	MEGA-POPS	MEGA POP	MÉGA POPS	MEGAPOPS
75	MORGANA	MORGANA	MORGANA	MORGANA	MORGANA
76	MORGANA IS LIT!	MORGANA IST AN!	MORGANA ACCESA!	MORGANA ALLUMÉE	¡MORGANA ESTÁ ENCENDIDA!
77	MORGANA OVER	MORGANA ENDE	MORGANA FINITA	MORGANA ÉTEINTE	MORGANA FUERA DE COMBATE
78	MULTIPLIER HELD	MULTIPLIKATOR ERHALTEN	MOLTIPLICATORE OTTENUTO	MULTIPLICATEUR OBTENU	MULTIPLICADOR RETENIDO
79	NO	NEIN	NO	NON	NO
80	NO LUCK	KEIN GLÜCK	NESSUNA FORTUNA	PAS DE CHANCE	MALA SUERTE
81	OFF	AUS	OFF	DÉSACTIVÉ(E)	DESACTIVADO
82	ON	AN	ON	ACTIVÉ(E)	ACTIVADO
83	OPENED	GEÖFFNET	APERTO	OUVERT(S)	ABIERTO
84	OPTIONS	OPTIONEN	OPZIONI	OPTIONS	OPCIONES
85	OPTIONS	OPTIONEN	OPZIONI	OPTIONS	OPCIONES
86	OUCH!	AUTSCH!	AHI!	OUILLE !	¡AY!
87	PARTY TIME!	ZEIT FÜR EINE PARTY!	FESTA!	AMUSE-TOI BIEN !	¡A DIVERTIRSE!
88	PLAYER #	SPIELER #	GIOCATORE #  	JOUEUR #	JUGADOR #
89	PLAYER # IS UP	SPIELER # IST DRAN	TOCCA AL GIOCATORE # 	TOUR DU JOUEUR # 	LE TOCA AL JUGADOR #
90	PLAYERS	SPIELER	GIOCATORI	JOUEURS	JUGADORES
91	POPS HELD	POPS GEHALTEN	POP OTTENUTI	POPS OBTENUS	POPS RETENIDOS
92	PRACTICE	TRAINING	ALLENAMENTO	ENTRAÎNEMENT	PRÁCTICA
93	PRISON	GEFÄNGNIS	PRIGIONE	PRISON	CÁRCEL
94	QUIT	BEENDEN	ABBANDONA	QUITTER	ABANDONAR
95	RAMP 1X	RAMPE 1X	RAMPA 1X	1 RAMPE 	RAMPA 1X
96	RAMP 2X	RAMPE 2X	RAMPA 2X	2 RAMPES 	RAMPA 2X
97	RAMP 4X	RAMPE 4X	RAMPA 4X	4 RAMPES 	RAMPA 3X
98	RECORDS	REKORDE	RECORD	ENREGISTREMENTS	RÉCORDS
99	RESCUED	GERETTET	RECUPERATO	SAUVÉS	RESCATADOS
100	RESET DATA	DATEN ZURÜCKSETZEN	RIPRISTINA DATI	DONNÉES RÉINITIALISÉES	RECONFIGURAR DATOS
101	REVERSE COMBO!	UMKEHR-KOMBI!	INVERTI COMBINAZIONE!	COMBO INVERSÉE !	¡COMBO INVERTIDO!
102	RUMBLE	VIBRATION	ROMBO	GRONDEMENT	VIBRACIÓN
103	SAVE	RETTEN	SALVA	SAUVER	SALVAR
104	SCUTTLE FOUND!	SCUTTLE GEFUNDEN!	SCUTTLE TROVATO!	EURÉKA TROUVÉE !	¡HALLASTE A SCUTTLE!
105	SCUTTTLE	SCUTTLE  	SCUTTLE	EURÉKA	SCUTTLE
106	SECRET COMBO	GEHEIM-KOMBI	COMBINAZIONE SEGRETA	COMBO SECRÈTE	COMBO SECRETO
107	SECRET COMBO!	GEHEIM-KOMBI!	COMBINAZIONE SEGRETA!	COMBO SECRÈTE !	¡COMBO SECRETO!
108	SHARK ATTACK	HAI-ANGRIFF	ATTACCO SQUALO	ATTAQUE DU REQUIN	ATAQUE DEL TIBURÓN
109	SHARK ATTACK!	HAI-ANGRIFF!	ATTACCO SQUALO!	ATTAQUE DU REQUIN !	¡ATAQUE DEL TIBURÓN!
110	SHIP	SCHIFF	NAVE	NAVIRE	BARCO
111	SHIPWRECK RESCUE LIT!	KENTER-RETTUNG AN!	SOCCORSO NAUFRAGIO ACCESO!	SAUVETAGE DE NAVIRE ALLUMÉ !	¡RESCATE NÁUFRAGO ENCENDIDO!
112	SHOOT AGAIN	NOCHMAL SCHIESSEN	TIRA ANCORA	TIRE ENCORE	DISPARA DE NUEVO
113	SHOOT LIT LANES	AKTIVE BAHNEN SCHIESSEN	TIRA SULLE CORSIE ACCESE	TIRE SUR LAMPES ALLUMÉES	DISPARA PASILLOS ENCENDIDOS
114	SHOOT LIT SCOOPS	AKTIVE SCOOPS SCHIESSEN	TIRA SUI TRABOCCHETTI ACCESI	TIRE SUR LES SCOOPS 	DISPARA A HUECOS ENCENDIDOS
115	SHOOT RIGHT LOOP	RECHTEN LOOP SCHIESSEN	TIRA SULL'ANELLO A DESTRA	TIRE VERS LA BOUCLE DROITE	DISPARA AL BUCLE DERECHO
116	SHOOT THE BUMPERS	STOSSSTANGEN SCHIESSEN	TIRA SUI BUMPER	TIRE SUR LES BUMPERS	DISPARA A LOS BUMPERS
117	SHOOT THE ICEBERG LAIR	EISBERGVERSTECK SCHIESSEN	TIRA SUL COVO DELL'ICEBERG	TIRE VERS ANTRE GLACIÈRE	DISPARA A GUARIDA DE HIELO
118	SHOOT THE POPS	POPS SCHIESSEN	TIRA SUI POP	TIRE SUR LES POPS	DISPARA A LOS POPS
119	SHOOT THE RAMP	RAMPE SCHIESSEN	TIRA SULLA RAMPA	TIRE VERS LA RAMPE	DISPARA A LA RAMPA
120	SHOOT THE SPINNER	SPINNER SCHIESSEN	TIRA SULLO SPINNER	TIRE SUR LE SPINNER	DISPARA A HOJA GIRATORIA
121	SHOOT URSULA'S LAIR!	URSULAS VERSTECK SCHIESSEN!	TIRA SUL COVO DI URSULA	TIRE VERS L'ANTRE D'URSULA !	¡DISPARA A LA GUARIDA DE ÚRSULA!
122	SKILL SHOT	FÄHIGKEITSSCHUSS	TIRO ABILITÀ	TIRE LANCE BILLE	TIRO DE HABILIDAD
123	SMALL POINTS	WENIG PUNKTE	PUNTI MINORI	PEU DE POINTS 	POCOS PUNTOS
124	SMASHED	ZERSTÖRT	SCHIACCIATA	ÉCRASÉE	MACHACADA
125	SPEED	GESCHWINDIGKEIT	VELOCITÀ	VITESSE	VELOCIDAD
126	START	START	AVVIO	DÉPART	EMPEZAR
127	STATUS REPORT	STATUSBERICHT	RAPPORTO STATO	INFORMATIONS SUR LE STATUT	INFORME DE ESTADO
128	STORM MULTIBALL	MULTIBALL-STURM	TEMPESTA MULTIPALLINA	TEMPÊTE DE MULTIBILLE	TORMENTA DE BOLAS
129	STORM MULTIBALL!	MULTIBALL-STURM!	TEMPESTA MULTIPALLINA!	TEMPÊTE DE MULTIBILLE !	¡TORMENTA DE BOLAS!
130	STUNNED	BETÄUBT	STORDITO	ÉTOURDI(S)	ATURDIDO
131	SUPER COMBO!	SUPER-KOMBI!	SUPER COMBINAZIONE	SUPER COMBO !	¡SUPERCOMBO!
132	SUPER JACKPOT	SUPER-JACKPOT	SUPER JACKPOT	SUPER JACKPOT 	SUPERPREMIO
133	SUPER JACKPOT IS LIT	SUPER-JACKPOT IST AN	SUPER JACKPOT ACCESO	SUPER JACKPOT ALLUMÉ	SUPERPREMIO ENCENDIDO
134	SUPER JACKPOT!	SUPER-JACKPOT!	SUPER JACKPOT!	SUPER JACKPOT !	¡SUPERPREMIO!
135	SUPER KICKBACK LOST	SUPER-KICKBACK VERLOREN	SUPER CONTRACCOLPO PERSO	SUPER KICKBACK PERDU	PERDISTE EL SUPERIMPULSOR
136	SUPER KICKBACK!	SUPER-KICKBACK!	SUPER CONTRACCOLPO!	SUPER KICKBACK !	¡SUPERIMPULSOR!
137	SUPER POPS	SUPER-POPS	SUPER POP	SUPER POPS	SUPERPOPS
138	SUPER POPS!	SUPER-POPS!	SUPER POP!	SUPER POPS !	¡SUPERPOPS!
139	SUPER REVERSE COMBO!	SUPER-UMKEHRKOMBI	SUPER COMBINAZIONE INVERSA!	SUPER COMBO INVERSÉE !	¡SUPERCOMBO INVERTIDO!
140	TABLES	TISCHE	TAVOLE	TABLES DE JEU	MESAS
141	THE STORM IS OVER	DER STURM IST VORBEI	LA TEMPESTA È FINITA	LA TEMPÊTE EST PASSÉE	YA HA PASADO LA TORMENTA
142	NO ERUPTION	KEINE ERUPTION	NESSUNA ERUZIONE!	PAS D'ÉRUPTION !	¡NO ESTÁ EN ERUPCIÓN!
143	TREASURE	SCHATZ	TESORO	TRÉSOR	TESORO
144	TREASURE FOUND!	SCHATZ GEFUNDEN!	TESORO TROVATO! 	TRÉSOR TROUVÉ !	¡HALLASTE EL TESORO!
145	TREASURE HUNT	SCHATZSUCHE	CACCIA AL TESORO	CHASSE AU TRÉSOR	BÚSQUEDA DEL TESORO
146	TREASURE OVER!	SCHATZ VORBEI!	TESORO FINITO!	PLUS DE TRÉSOR !	¡SE ACABÓ EL TESORO!
147	TRIDENT	DREIZACK	TRIDENTE	TRIDENT	TRIDENTE
148	TRIDENT FOUND!	DREIZACK GEFUNDEN!	TRIDENTE TROVATO!	TRIDENT TROUVÉ !	¡HALLASTE EL TRIDENTE!
149	TRIDENT HUNT	DREIZACKSUCHE	CACCIA AL TRIDENTE 	CHASSE AU TRIDENT	BÚSQUEDA DEL TRIDENTE
150	TRIPLE COMBO!	DREIFACH-KOMBI!	TRIPLA COMBINAZIONE!	TRIPLE COMBO !	¡TRIPLE COMBO!
151	TRIPLE JACKPOT	DREIFACH-JACKPOT	TRIPLO JACKPOT	TRIPLE JACKPOT	TRIPLE PREMIO
152	TRIPLE JACKPOT!	DREIFACH-JACKPOT!	TRIPLO JACKPOT!	TRIPLE JACKPOT !	¡TRIPLE PREMIO!
153	TRIPLE REVERSE COMBO!	DREIFACH-UMKEHRKOMBI	TRIPLA COMBINAZIONE INVERSA!	TRIPLE COMBO INVERSÉE !	¡TRIPLE COMBO INVERTIDO!
154	TRUE LOVE IS FOUND	WAHRE LIEBE GEFUNDEN	VERO AMORE TROVATO 	VÉRITABLE AMOUR TROUVÉ	HALLASTE EL AMOR VERDADERO
155	TWO-BALL OVER	ZWEI-BALL ENDE	DUE-PALLINE FINITO	FIN DES DEUX BILLES 	QUEDAN DOS BOLAS
156	UNDERTOW CHASE	SOG-JAGD	INSEGUIMENTO UNDERTOW	CHASSE D'UNDERTOW	PERSECUCIÓN DE TIBURÓN
157	UNREAL!	UNGLAUBLICH!	INCREDIBILE!	INCROYABLE !	¡INCREÍBLE!
158	URSULA	URSULA 	URSULA	URSULA	ÚRSULA
159	URSULA LIT!	URSULA IST AN!	URSULA ACCESA	URSULA ALLUMÉE !	¡ÚRSULA ENCENDIDA!
160	URSULA OVER	URSULA ENDE	URSULA FINITA	URSULA ÉTEINTE	ÚRSULA FUERA DE COMBATE
161	URSULA'S LAIR	URSULAS VERSTECK	COVO DI URSULA	ANTRE D'URSULA	LA GUARIDA DE ÚRSULA
162	URSULA'S LAIR FOUND!	URSULAS VERSTECK GEFUNDEN	COVO DI URSULA TROVATO!	ANTRE D'URSULA TROUVÉE !	¡HALLASTE GUARIDA DE ÚRSULA!
163	VOLCANO	VULKAN	VULCANO	VOLCAN	VOLCÁN
164	VOLCANO IS LIT!	VULKAN IST AN!	VULCANO ACCESO!	VOLCAN ALLUMÉ !	¡EL VOLCÁN ESTÁ ENCENDIDO!
165	VOLCANO MULTIBALL	VULKAN MULTIBALL	VULCANO MULTIPALLINA 	MUTLIBILLE VOLCAN	VOLCÁN DE BOLAS
166	VOLCANO MULTIBALL!	VULKAN MULTIBALL!	VULCANO MULTIPALLINA!	MULTIBILLE VOLCAN !	¡VOLCÁN DE BOLAS!
167	WEDDING BELLS	HOCHZEITSGLOCKEN	CAMPANE NUZIALI	CLOCHES DU MARIAGE	CAMPANAS DE BODA
168	WEDDING BELLS!	HOCHZEITSGLOCKEN!	CAMPANE NUZIALI!	CLOCHES DU MARIAGE !	¡CAMPANAS DE BODA!
169	WHERE IS HE?	WO IST ER?	LUI DOV'È?	OÙ EST-IL ?	¿DÓNDE ESTÁ?
170	WHERE IS IT?	WO IST ES?	DOV'È	OÙ EST-CE ?	¿DÓNDE ESTÁ?
171	YES	JA	SÌ	OUI	SÍ
172	YOU ARE LOST	DU BIST VERLOREN	SEI PERDUTO	TU ES PERDU(E)	TE HAS PERDIDO
173	YOU ESCAPED!	DU BIST ENTKOMMEN!	SEI FUGGITO!	TU T'ES ÉCHAPPÉ(E) !	¡ESCAPASTE!
174	YOU'RE ALL WET	DU BIST GANZ NASS!	SEI TUTTO BAGNATO	TU ES TOUT(E) MOUILLÉ(E)	TE EMPAPASTE
175	Hit in Ramp!	In Rampe schlagen	Tira verso la rampa!	Vas dans la rampe !	¡Dale a la rampa!
176	You got a picture!	Du kriegst ein Bild!	Hai ottenuto un'immagine!	Tu reçois une image !	¡Tienes un dibujo!
177	Mini-games	Minispiele	Mini-giochi	Mini-parties	Minijuegos
178	Print	Drucken	Stampa	Imprimer	Imprimir
179	Main Menu	Hauptmenü	Menu principale	Menu Principal	Menú principal
180	Pinball	Pinball	Flipper	Flipper	Pinball
181	Frenzy	Ekstase	Frenesia	Frenzy	Juego loco
182	The End	Ende	Fine	FIN	FIN
